Name,Position,Rating,PAC,SHO,PAS,DRI,DEF,PHY
Tavernier,RB,75,86,67,72,73,68,78
McLaughlin,RB,65,69,47,61,63,62,65
Proctor,ST,61,66,60,54,60,31,70
Finnbogason,ST,76,61,81,62,74,33,67
Joel Robles,GK,76,78,73,72,80,52,73
Doukouré,CDM,72,67,62,65,67,72,76
Millar,CM,69,47,67,73,71,63,63
Pabón,RM,76,84,77,73,75,38,71
Gutiérrez,ST,74,54,74,72,77,28,71
Faraoni,RM,74,73,69,73,73,70,73
Maubleu,GK,67,69,66,58,66,41,66
Wildig,CM,62,70,58,61,66,48,62
Hussey,LWB,66,66,48,60,63,60,66
Ballón,CM,65,70,60,64,65,62,74
Bangura,CB,63,75,48,57,58,60,74
Mexer,CB,75,57,48,58,64,75,77
Héldon,LM,76,85,71,70,78,29,60
Pack,CDM,73,51,60,71,69,68,78
Özyakup,CM,75,67,69,78,79,61,65
Ignasi Miquel,CB,69,60,28,56,59,70,69
Suk Hyun Jun,ST,70,59,72,57,67,39,78
Bidwell,LB,70,68,41,65,63,68,74
Falch,GK,63,64,60,55,66,35,60
Nsiala,CB,65,75,38,42,44,63,85
Diandy,CDM,69,60,50,63,65,69,71
Fayez,CB,64,73,33,55,60,62,69
Piossek,CAM,65,71,63,62,66,49,70
Ducksch,ST,72,67,73,60,67,34,68
Gürler,LM,73,80,67,69,74,44,53
Agudelo,ST,68,75,65,61,70,44,70
Harris,LW,71,85,58,62,75,27,58
Bertram,ST,65,78,67,62,68,40,62
Babacar,ST,72,66,72,55,71,35,68
Fandrich,CM,69,78,56,67,73,52,53
Vilsvik,RB,66,71,58,61,64,61,70
Anselmo,CDM,76,67,66,67,70,73,81
Wiedwald,GK,71,73,64,68,73,39,67
Saadi,ST,67,63,68,53,65,22,72
Iñigo Pérez,CDM,74,60,65,77,66,71,72
Ulvestad,CM,72,65,63,68,71,71,81
Al Mosailem,GK,67,64,70,63,64,36,71
Al Raheb,ST,59,55,58,43,57,26,52
García,CM,66,64,62,65,69,58,66
Dimitriadis,CB,64,64,52,59,61,63,72
Salem,CB,65,54,33,45,45,65,72
Leroy,GK,72,71,71,70,72,39,72
Gabriel Silva,LWB,74,72,60,71,71,69,67
Seculin,GK,70,73,67,57,79,30,63
Bunbury,ST,67,73,66,60,66,38,75
Bruna,CM,58,59,55,59,62,44,51
Sala,RB,72,67,61,69,70,70,69
Davidson,LB,66,68,50,60,65,60,65
Martin,CM,73,59,69,74,72,66,67
Cowan-Hall,RM,63,84,56,55,64,35,58
Arribas,CB,71,64,36,56,56,70,69
Juanmi,LW,75,72,75,67,76,30,55
Paurević,CDM,69,49,56,60,58,68,77
Straith,CB,62,52,34,50,52,61,72
Sansores,ST,64,65,63,53,63,35,58
Parker,ST,61,86,54,55,61,33,64
Bowman,ST,63,68,62,47,60,31,80
O'Kane,CDM,65,65,52,65,67,60,57
Åsen,CM,66,61,65,68,66,52,67
Alibec,ST,72,70,74,67,70,46,81
Francomb,RB,64,67,53,63,62,59,61
Larsson,RB,70,65,54,66,65,64,79
Toornstra,CM,75,61,75,76,72,63,74
Morrow,LB,70,67,62,65,66,67,73
Eaves,ST,67,53,68,40,59,36,79
Pereira,RW,66,90,61,60,68,49,75
Testroet,ST,69,64,70,56,64,38,75
Ximo Navarro,RB,74,75,47,65,68,70,76
de Lanlay,LW,67,83,60,62,69,51,60
Burn,CB,75,53,33,59,58,75,80
Gillespie,GK,71,74,68,66,73,34,72
Flanagan,CB,66,57,34,53,59,65,74
Pichu Atienza,CB,68,33,30,44,44,69,76
Williams,CB,63,72,27,56,63,62,69
Höger,CDM,72,40,66,69,68,71,76
Caio,ST,73,81,73,66,76,29,66
Bacuna,CDM,68,78,65,67,68,65,76
Samu Saiz,CAM,70,75,67,69,73,25,61
Taylor,CM,63,69,56,62,65,54,70
Araujo,ST,69,74,68,63,73,33,58
van der Maarel,CB,66,63,37,58,60,67,68
Marín,RB,68,69,51,60,66,65,73
Djilobodji,CB,72,64,46,50,54,71,78
Schenkeveld,CB,71,77,39,59,64,70,76
Slišković,ST,60,66,59,42,52,33,76
Calisir,CB,66,59,35,55,59,66,71
Cunningham,LB,72,72,54,65,69,70,74
Jordi Amat,CB,70,64,48,53,56,69,76
Leandro Damião,ST,73,56,74,59,68,35,77
Bourabia,CM,69,59,61,69,71,63,60
Raul García,LB,73,66,62,71,68,67,74
Taylor,RM,68,88,62,60,68,26,62
Arnold,GK,63,65,62,63,64,31,60
Clay,CM,63,64,54,58,61,60,72
Sinovic,LB,65,55,41,60,63,65,65
Ream,CB,70,60,43,68,69,70,69
Nicholls,GK,65,67,62,63,69,41,61
Aguilera,CDM,68,47,57,63,70,62,72
Franjic,RWB,66,67,58,61,63,61,69
Autret,CAM,72,67,70,73,73,42,56
Vydra,CF,73,80,74,67,73,35,59
Oviedo,LB,67,71,59,65,68,63,64
Bentley,GK,70,75,64,66,72,45,69
Bell,CB,73,47,38,53,50,76,75
Clark,GK,73,72,69,65,73,48,75
Robinson,ST,62,74,58,61,65,50,68
Palmer,RB,68,75,58,64,65,62,72
Tomás Pina,CM,76,47,66,72,73,73,72
Vukovic,CB,72,37,46,55,51,73,75
Kacaniklic,RW,70,74,66,69,70,41,54
Waris,RM,73,92,70,65,74,39,65
Castellani,CM,70,65,66,72,71,61,76
Tecl,ST,72,79,67,62,72,36,76
Bradshaw,ST,69,78,68,49,68,30,70
Dani Rodríguez,RM,75,87,74,72,72,62,64
Guitián,CB,71,66,41,58,62,70,76
McClean,LW,71,72,66,69,73,58,76
Faltsetas,CM,65,56,54,65,59,66,80
Drmic,ST,72,75,71,65,71,38,70
Davis,CM,68,74,65,66,68,68,81
Rømer,CM,65,61,51,63,65,59,77
Greene,ST,62,82,58,57,61,36,70
Paulsen,CB,67,62,58,55,56,65,81
Gamboa,RB,70,86,48,65,71,64,70
Ujah,ST,71,66,71,55,69,33,71
Carlos Ruiz,CB,66,62,53,57,57,64,76
Murillo,CB,76,67,39,56,53,77,78
Garza,LB,69,70,54,65,67,67,71
Linnes,RB,74,86,57,65,73,69,66
Mendoza,RM,71,83,64,65,72,41,69
Nilsen,CM,63,64,59,63,65,61,70
Drexler,CAM,73,71,63,72,77,40,56
Austin,ST,72,50,75,57,67,36,68
Raúl Navas,CB,73,36,45,55,48,75,63
Hánsson,CM,65,74,65,63,66,50,74
Shaughnessy,CB,63,66,26,48,55,62,72
Bain,GK,72,70,72,72,74,60,67
Arroyo,CB,69,72,27,55,54,69,80
Zohore,ST,70,65,70,48,64,26,77
Ulvestad,CB,68,36,45,48,45,68,74
Labyad,CF,75,72,75,76,79,36,54
Cairney,CAM,76,63,72,77,77,60,64
Gabbiadini,ST,75,67,79,71,75,26,62
Ciss,LB,69,77,61,62,66,65,75
Pogba,CB,68,62,42,58,56,67,78
Barmen,CM,67,62,65,64,66,64,77
McEachran,CDM,68,61,46,71,71,63,52
Sergio León,ST,74,75,76,63,75,43,66
Najar,RB,71,73,65,70,73,70,61
Rashani,LW,68,83,61,61,70,39,67
Acosta,LB,66,51,58,67,68,63,64
Corona,CM,69,68,60,66,71,69,68
Madueña,RB,71,79,47,69,73,64,75
Williams,CAM,69,67,59,66,76,44,55
Taïder,CM,75,70,73,73,74,66,78
Wright,CB,68,63,38,51,54,68,74
Jensen,CDM,65,53,52,61,61,62,67
Amalfitano,CM,72,54,59,70,72,67,59
Pajot,CM,72,56,58,71,71,73,69
Cullen,ST,61,70,59,51,58,40,67
Aday Benítez,RM,73,72,57,69,74,68,63
Avevor,CB,69,65,39,56,54,68,75
Romagnoli,CB,71,57,40,45,53,73,78
Clifford,CM,59,56,57,60,58,54,61
Hanley,CB,70,54,34,42,45,72,72
Cofie,CDM,69,67,58,63,64,69,74
Hochscheidt,LM,72,67,71,71,71,57,73
M'Bolhi,GK,71,71,67,65,77,51,67
Paredes,ST,73,59,76,66,71,34,71
Mensah,CB,71,64,46,55,53,71,76
McGinley,GK,57,57,57,52,60,41,56
McMillan,ST,63,68,62,50,60,27,65
Boyle,CB,65,53,37,50,51,64,77
Ward,CAM,62,69,59,60,63,48,53
Robinson,CB,70,70,41,61,63,72,66
Corcoran,ST,61,43,62,53,57,28,68
Magyar,CB,68,48,38,52,48,68,75
Yohan Tavares,CB,69,59,39,52,53,69,74
Tzavellas,CB,74,67,63,66,62,73,78
Aboubakar,ST,74,71,74,68,77,36,78
Wang Gang,RB,67,78,55,57,62,63,75
Domínguez,GK,72,69,70,71,72,31,73
Radetinac,RW,64,53,59,65,66,53,63
Tinnerholm,RB,72,74,51,65,68,66,76
Folan,CB,59,38,43,50,48,58,64
Qaka,CM,66,66,58,67,72,56,65
Luna,LB,72,68,62,68,68,70,74
Sergio Álvarez,CDM,75,62,66,68,68,71,78
Brattan,CDM,68,63,63,69,67,61,72
Yang Jun A,CB,63,43,56,56,59,60,75
Dabo,CM,72,61,67,71,73,73,77
Kim Bo Kyung,CAM,74,79,68,71,73,59,68
Appiah,RB,72,74,40,59,63,70,75
Hamill,CB,61,55,41,49,49,61,65
Delaplace,RB,68,55,52,66,67,66,71
Kim Tae Hwan,RB,71,91,58,61,68,63,74
Hong Chul,LB,72,89,48,69,70,64,74
Yun Young Sun,CB,70,67,35,57,48,68,82
Hejda,CB,72,62,35,53,58,73,75
Ji Dong Won,CF,71,67,70,63,73,43,71
Kim Da Sol,GK,59,59,59,61,56,39,60
Nestorovski,ST,73,68,74,53,71,35,75
Jonckheere,CM,66,46,61,69,68,61,54
Losilla,CDM,71,53,55,63,71,69,76
Abrashi,CDM,71,64,54,57,64,70,76
Wittek,CB,67,57,43,40,44,68,76
Bamba,RB,73,77,41,65,65,69,71
Riemann,GK,72,72,68,71,74,52,70
Holý,GK,65,68,60,56,69,26,65
Wunderlich,CAM,67,66,68,67,69,35,64
Rzatkowski,CM,72,72,64,71,73,65,68
Escalante,CB,64,61,49,60,57,61,72
Klose,CB,72,32,38,54,37,75,68
Koch,RB,68,77,50,54,63,64,63
Linssen,LW,74,78,74,68,74,45,67
Chavarría,ST,71,67,70,68,71,36,74
Aguirregaray,RB,72,75,53,67,70,68,77
Post,CDM,67,39,58,57,59,63,85
Kempe,CAM,70,73,66,73,72,42,70
Sebá,LM,72,86,70,65,71,49,76
Tekin,GK,74,73,70,72,79,39,73
Clasie,CM,74,61,64,77,74,65,68
Gregoritsch,ST,74,57,74,72,70,41,70
Gollner,CB,64,51,23,43,52,65,72
Sağlik,CM,63,54,62,67,68,50,54
Meilinger,RM,66,70,63,64,66,33,63
Evseev,CAM,63,71,57,62,67,56,59
Joselu,ST,68,80,68,60,66,42,77
Diego Mariño,GK,74,74,72,69,77,50,72
Fran García,LB,69,78,34,57,64,64,67
Massey,RM,67,81,60,61,67,44,67
Xhaka,CDM,72,74,62,68,67,67,82
Proschwitz,ST,64,41,66,52,55,28,78
Novak,RB,70,73,44,61,66,67,72
Cuffaut,CB,68,68,39,62,62,66,75
Martins Indi,CB,69,53,42,57,57,68,76
Inglese,ST,74,51,75,49,67,27,66
Nolito,LW,76,66,75,75,77,45,63
Ilie Sánchez,CDM,74,54,47,67,71,69,76
Balaj,ST,69,68,68,49,65,26,69
Lamprou,GK,69,71,62,74,75,44,63
Torres,ST,68,68,68,66,66,34,69
Deac,RW,72,71,70,72,72,59,74
Sánchez,RB,72,79,57,62,72,68,63
Oriol Romeu,CDM,75,41,39,61,63,76,78
Goldson,CB,72,68,37,53,63,72,78
Kieftenbeld,CDM,69,66,65,63,65,68,74
Çağıran,CDM,70,63,68,66,69,70,77
Guidetti,ST,74,60,76,67,72,41,72
André André,CM,75,66,69,75,76,71,65
Pell,CDM,65,54,61,60,61,60,78
Payne,ST,62,68,60,49,59,27,68
Guezoui,ST,63,41,63,47,60,28,74
Lowton,RB,75,66,61,72,72,75,73
Praet,CM,76,68,70,77,78,61,64
Funes Mori,CB,75,61,50,64,65,76,75
Cools,CDM,68,55,52,64,58,69,70
Morsy,CDM,70,66,57,63,70,64,79
González Pirez,CB,73,69,48,62,67,73,78
Jorge Teixeira,CB,69,38,39,60,46,70,75
Çörekçi,RB,70,81,51,63,72,64,67
Sepúlveda,LM,70,77,66,66,69,42,72
Mier,CB,69,59,43,57,58,69,70
Aridai,RM,70,78,69,59,77,26,59
Gorgelin,GK,70,73,64,70,71,47,67
Moldovan,GK,63,63,65,62,64,36,62
Sviatchenko,CB,76,60,51,61,60,75,81
Dabrowski,CDM,68,67,56,64,65,66,70
Lauridsen,LB,67,72,45,64,65,62,67
Knudsen,LB,69,70,44,62,63,65,78
Hassan,RM,66,78,59,61,69,48,60
Dikamona,CB,64,59,22,43,51,59,78
Kaminski,CB,70,66,56,62,59,71,69
Drygas,CM,69,60,66,66,66,66,79
Bereszynski,RB,72,84,56,64,69,67,71
van Ginkel,CM,75,63,77,77,75,69,66
Yılmaz,RM,66,76,65,60,67,34,67
Potzmann,LM,69,78,62,63,69,64,70
Caldirola,CB,71,49,41,63,61,71,69
Stahl,CDM,67,58,64,58,61,65,78
Hoffmann,CB,72,53,38,57,56,73,70
Yumlu,CB,68,36,37,45,47,68,77
Christiansen,CM,75,75,72,72,77,65,74
Bergdich,LB,73,82,51,65,72,69,74
Hernández,CM,75,61,70,74,71,64,73
Trauner,CB,74,66,57,62,62,74,80
Timor,CM,72,48,66,73,67,69,76
Jørgensen,ST,74,67,75,70,72,38,74
Lavanchy,RWB,70,80,62,63,67,60,70
Sobota,CM,68,82,64,67,75,46,54
Höfler,CDM,72,59,47,65,66,71,71
Joronen,GK,75,76,74,68,75,47,73
Brown Forbes,ST,65,79,58,55,62,44,79
Toledo,ST,71,49,74,63,62,43,77
Royer,LM,74,81,73,68,76,48,73
Wilson Eduardo,RM,76,78,79,73,77,31,67
Pervan,GK,74,72,74,69,75,30,72
Kittel,LW,73,73,67,73,75,33,56
Eastman,CB,64,42,32,50,55,65,75
Paterson,LM,70,76,65,68,73,33,45
Forster-Caskey,CM,66,70,61,64,67,61,65
Pérez,ST,70,85,71,65,67,31,71
Arbilla,CB,75,57,57,71,67,74,75
Van Damme,CDM,71,46,63,68,61,67,81
Jara,ST,75,76,75,67,74,30,70
Pedro Obiang,CDM,76,57,59,74,73,75,72
Christiansen,CAM,65,69,66,60,71,52,70
Coosemans,GK,69,70,63,70,72,44,68
Diallo,CB,67,35,40,56,53,66,77
Boilesen,LB,71,71,51,65,68,70,66
Blandi,ST,73,62,74,59,68,38,69
Ortega,GK,75,72,70,80,78,52,75
Hector,CB,72,64,47,51,61,73,76
Alan Patrick,CAM,73,75,71,72,76,57,65
Burmeister,CB,62,57,37,45,48,62,69
Allsop,GK,66,66,63,66,67,42,64
Esser,GK,74,73,72,64,78,38,71
Sarcevic,CM,65,63,63,63,68,58,70
Larsson,RB,71,80,63,68,68,64,75
Larsen,GK,68,67,66,69,71,43,69
Bruno,CB,74,37,32,47,47,75,78
te Vrede,ST,66,41,68,44,54,30,78
Aasbak,LB,66,65,52,63,61,62,76
Maher,CM,75,68,68,77,77,63,63
Lindberg,ST,62,65,61,64,64,43,65
Leugers,CDM,67,67,55,63,65,64,72
Cawley,CM,59,53,55,58,60,56,65
Salomão,LW,69,72,68,67,70,43,65
Mokhtar,LM,72,75,64,70,75,38,61
Lowe,CDM,65,60,49,59,60,63,72
García,CB,70,69,52,63,64,71,72
Mellor,RB,63,67,40,54,57,59,71
Rivierez,CB,66,50,28,54,57,66,77
Shinnie,CDM,72,70,44,67,67,70,76
Uth,CAM,76,72,78,71,76,40,68
Darikwa,RB,71,90,46,60,67,66,74
Koubek,GK,72,77,62,67,76,41,69
Soumaoro,CB,76,58,37,55,55,76,81
Żyro,ST,65,69,65,61,68,39,65
Halvorsen,RM,65,70,59,59,65,55,71
Silva,CB,68,35,35,50,52,66,78
Rienstra,CM,69,66,63,64,67,66,72
te Wierik,CB,68,58,48,59,60,69,72
Raman,ST,74,82,76,68,80,33,58
Pranter,LM,67,72,69,66,64,50,66
Guilherme,RM,74,91,67,69,76,51,65
Hinterseer,ST,72,63,73,64,69,43,74
Douglas,LB,72,65,64,74,67,69,66
Camilo,ST,72,77,73,67,76,34,66
Makuszewski,RM,67,87,62,62,65,44,68
Melia,GK,73,73,68,73,73,38,74
Eicher,GK,67,67,66,61,69,45,67
Missilou,CDM,64,67,46,55,61,61,73
Jozefzoon,RM,68,89,59,61,69,35,52
Trapp,CB,68,50,53,59,57,68,74
Skrzybski,ST,71,75,73,65,74,33,62
Douglas Vieira,ST,69,63,70,62,64,28,79
Kappelhof,CB,67,63,38,58,62,68,67
Álex Fernández,CAM,74,60,71,76,72,66,64
Walker,GK,65,66,66,62,63,42,65
Lee Jae Kwon,CM,62,75,54,59,64,57,71
Lee Yong,RB,73,77,54,67,65,69,72
Nam Joon Jae,RM,65,78,60,56,65,30,69
Hong Jeong Ho,CB,72,80,47,53,55,70,80
Yoon Bit Garam,CM,71,72,67,72,68,58,71
Forrest,RM,76,89,72,68,79,48,62
Schindler,CB,73,61,32,57,55,74,75
Konoplyanka,LM,75,79,72,71,78,32,66
İşcan,GK,61,62,63,58,60,34,59
Ulloa,CDM,69,47,58,63,66,66,72
Power,CM,66,57,65,67,64,63,73
Zhang Linpeng,RB,71,74,56,64,68,68,83
Rashid,CM,71,69,65,72,73,56,64
Leonard,CDM,69,79,65,65,67,65,78
Jarl,CB,62,59,22,44,43,61,69
Tafazolli,CB,66,51,28,43,49,66,73
Marsman,GK,68,69,60,68,72,38,65
Hope,ST,60,73,60,51,57,22,59
Bodin,RM,69,78,66,63,74,47,59
Hammar,CB,63,34,34,46,39,61,69
Piergianni,CB,63,47,26,39,45,62,75
Mejías,GK,63,63,64,65,64,55,62
Isaac Cuenca,LM,71,76,64,65,76,33,59
Watson,CM,62,65,58,61,63,56,67
Juan Jesus,CB,74,73,33,52,59,76,74
D'Haene,LB,72,75,59,67,74,64,62
Schlupp,LM,74,86,68,66,74,69,76
Wakaso,CDM,73,66,49,60,66,74,76
Haugen,CM,67,74,66,67,69,59,69
Bešic,CM,70,62,55,67,74,71,70
Christie,RB,71,83,53,63,68,66,74
Thomas,CM,63,70,57,61,63,62,72
Clarke-Harris,ST,68,77,70,50,63,27,77
Marafona,GK,73,73,73,66,74,36,74
Ehmer,CB,65,62,53,55,61,66,71
Smallwood,CDM,66,56,56,59,59,65,74
Quiroga,ST,75,67,73,50,68,29,79
Nelson,CB,68,71,36,50,58,66,80
Aydogdu,CDM,71,64,64,71,74,68,62
Jenkinson,RB,71,68,50,65,67,69,67
Hoban,ST,67,65,67,56,61,39,75
Gigliotti,ST,72,55,73,59,68,45,78
Leitner,CM,72,67,65,73,74,59,58
Gigliotti,CB,62,68,44,56,59,61,72
Morris,LW,67,67,66,66,67,57,67
Murray,CM,62,65,59,64,64,47,61
Stancu,ST,73,72,74,68,71,35,68
Radut,LM,68,71,63,66,67,52,67
Knasmüllner,CAM,70,77,65,69,72,42,65
Banks,CM,63,53,62,63,60,57,78
McCarey,GK,58,59,55,57,60,35,56
Könnecke,CAM,63,89,62,59,65,34,57
Hemlein,RM,64,82,62,60,64,39,69
Thomalla,ST,67,69,66,59,67,31,65
Ogier,CB,68,45,31,39,52,69,78
André Martins,CM,70,78,62,68,75,59,58
Lawless,RM,65,71,61,61,67,56,64
Dumitru,LM,67,77,62,62,66,40,69
Teodorczyk,ST,72,60,72,59,66,32,74
Sorg,RB,71,65,55,65,70,70,66
Chergui,ST,65,74,63,59,68,31,62
Yi Teng,CB,63,48,37,49,42,61,74
Djuricin,ST,65,76,64,55,67,26,65
Carole,LWB,72,74,40,64,72,72,72
Dejaegere,CM,71,73,61,70,75,66,70
Saponara,CAM,75,65,67,75,79,41,58
Kern,CM,65,71,65,63,67,46,68
Kaiser,CM,72,63,72,72,74,58,69
Kopacz,CB,67,66,33,52,51,66,76
Szumski,GK,66,68,63,64,68,22,66
Powell,CAM,71,67,70,66,72,48,65
Diego,LM,70,67,68,72,70,43,59
Słowik,GK,67,70,59,54,69,40,71
Pawłowski,RM,70,87,65,63,71,28,63
Cédric,RB,76,76,65,70,75,72,67
Pulido,CB,75,45,41,53,52,76,79
Kalas,CB,71,72,48,54,64,71,75
Přikryl,RM,70,80,66,67,71,28,61
Janicki,CB,64,50,35,57,51,62,72
Colin,RB,73,75,34,64,69,71,74
Badelj,CDM,76,52,63,75,72,74,69
Le Bihan,ST,70,52,70,58,69,45,70
Frydrych,CB,71,64,58,59,56,71,77
Forenc,GK,65,66,66,64,66,42,63
Donnarumma,GK,66,70,62,51,74,17,59
Davies,GK,70,70,68,67,71,40,68
Krejcí,LB,72,74,67,74,76,66,57
Acquah,CM,72,74,64,69,74,73,75
La Mantia,ST,69,54,67,35,61,30,80
Helenius,ST,66,63,66,53,62,35,65
Kusk,RW,71,77,67,68,72,38,64
Gytkjær,ST,73,71,73,57,70,33,74
Žulj,CAM,71,48,71,71,72,39,72
Falk,CM,76,85,63,72,81,63,75
Ince,RW,70,77,66,66,73,34,53
Kadrii,ST,71,85,71,62,74,52,75
Antonis,CM,69,68,67,69,69,59,66
Santander,ST,72,66,72,63,69,32,78
Sørensen,CB,71,55,33,61,60,71,76
Kempin,GK,64,63,63,64,66,57,64
McDonald,CB,63,55,29,47,54,62,72
Rønnow,GK,76,77,72,67,78,47,76
Abu,CDM,66,69,54,62,66,61,67
Matos,RW,70,74,65,61,75,34,65
Biraghi,LM,75,75,65,74,74,73,70
Nielsen,CB,64,48,42,56,57,63,70
Álvaro,ST,68,73,69,60,67,41,69
Moncur,CAM,66,66,62,67,68,46,60
Lletget,CM,70,71,64,70,73,60,70
Oliver,ST,61,61,58,47,57,38,78
Moore,CB,70,70,33,57,62,68,80
Gartland,CB,62,31,29,43,34,61,72
David López,CDM,76,54,60,67,66,77,75
McEleney,CAM,66,78,60,64,69,55,64
Bech,RM,69,79,65,62,74,24,57
Deplagne,RB,69,58,28,62,53,69,73
Laursen,RB,66,83,36,56,63,59,64
Kim Young Gwon,CB,72,71,57,67,64,72,77
Ntep,LM,71,79,67,68,72,29,64
Quintero,CM,68,74,64,67,69,61,72
Riedel,CB,65,72,36,52,62,65,69
Musa,LM,73,93,66,63,74,30,56
Dussenne,CB,66,32,34,48,45,68,69
Bostyn,GK,66,69,65,58,66,36,67
Sansone,CAM,76,78,76,72,79,44,58
Rojo,CB,75,66,59,68,65,75,74
Bicakcic,CB,76,62,37,49,48,77,79
Teibert,CM,66,56,52,67,68,64,65
Bendik,GK,65,67,62,63,65,36,63
Omoijuanfo,ST,70,75,71,61,68,44,76
Møller Dæhli,CAM,72,76,54,68,80,23,62
Eysseric,LW,73,66,70,76,75,43,59
Johnson,CAM,74,76,71,72,75,53,67
Berisha,ST,68,83,66,60,69,34,80
Brady,LM,75,71,71,75,76,66,62
Tadic,ST,69,65,71,63,67,29,69
McLean,CM,72,69,69,70,71,64,70
Fagundez,CAM,69,75,65,68,74,39,59
Recio,CM,74,39,67,73,71,72,71
Robertson,CB,67,66,29,51,58,66,72
Winchester,CM,65,72,60,64,67,57,75
Wisdom,RB,71,68,30,60,63,72,78
Van Der Bruggen,CDM,72,49,62,72,69,69,68
Kraus,CB,65,45,40,44,42,64,76
Ajose,ST,62,72,62,53,63,35,59
Qasmi,ST,65,56,66,48,60,30,69
Gabriel,GK,76,78,73,68,79,36,75
Kim Dong Woo,CB,62,52,34,46,51,62,73
Kim Jin Hyeon,GK,73,73,67,61,76,49,73
Piccini,RB,76,76,42,64,71,75,76
MacMath,GK,66,66,64,54,67,37,67
Keohane,RB,64,76,57,62,64,59,61
Martella,LB,71,77,57,69,66,62,71
Cornelius,ST,75,61,75,58,67,39,81
Ebanks-Landell,CB,65,55,48,49,53,64,73
Sánchez Miño,LB,75,72,72,78,75,72,71
Søderlund,ST,70,63,70,55,64,42,79
Thern,CM,69,76,65,67,71,58,70
Wikheim,LM,70,87,58,63,74,44,54
Parzyszek,ST,68,61,66,53,62,39,69
Gomis,GK,76,77,77,70,75,42,75
Nadj,GK,57,54,57,52,58,28,59
Ienaga,RM,72,77,68,68,73,38,65
Tveter,ST,61,45,65,59,59,32,69
Herrem,ST,61,66,62,44,53,30,71
Landre,CB,71,52,36,53,55,70,72
Benezet,LM,72,77,68,69,74,35,53
Lopes,CB,65,54,30,46,51,65,71
Yasin,RW,68,79,64,60,71,40,70
Holmberg,ST,68,72,65,56,66,45,75
Bruns,CM,66,67,60,65,67,61,67
Afobe,ST,70,76,70,59,67,29,69
Miyaichi,RM,69,91,56,58,73,26,52
Kurtic,CM,74,59,69,73,71,71,75
Bergström,CB,68,63,35,45,53,68,76
Arias,LM,67,78,66,65,67,64,66
Fernández,LM,70,74,68,66,72,50,59
Zavaleta,CB,65,58,55,52,54,63,75
Valentin,RB,71,71,46,64,67,69,74
Nagbe,CM,75,79,64,71,81,63,70
Blazevic,GK,63,64,60,58,62,26,63
Bruin,ST,68,59,67,55,62,35,79
Geis,CDM,73,48,65,78,64,71,71
Klaus,RM,74,76,68,68,78,37,68
John,LW,71,74,64,71,75,25,58
Yu Hai,CB,67,73,57,66,70,66,70
Knoll,CDM,70,52,56,69,64,70,77
Morales,CDM,72,64,58,69,70,66,76
Odubajo,RB,69,81,56,62,68,68,68
Ralph,LB,65,78,44,56,64,59,61
Cousins,CDM,66,74,55,58,66,61,72
Sturaro,CM,72,68,67,70,72,75,75
Khalili,CM,70,72,66,69,72,65,70
Stafylidis,LB,74,75,64,67,72,70,74
Anibaba,CB,67,57,44,55,53,67,74
Behich,LB,72,77,63,66,72,68,65
Kitchen,CDM,65,53,56,57,57,63,74
Boxall,CB,68,60,42,58,57,66,77
Williams,CB,66,59,46,59,56,65,73
Vilhjálmsson,ST,67,63,65,59,63,59,75
Ismail,RM,64,84,60,55,68,33,59
Riski,RW,66,79,63,62,68,45,60
Hernandez,LM,73,83,70,63,76,34,71
Plata,LW,71,87,67,68,72,34,60
Tonelli,CB,74,59,31,44,59,78,67
De Préville,CF,75,74,75,73,76,38,67
Gouweleeuw,CB,76,71,58,66,64,79,75
Petratos,CAM,69,79,68,67,72,47,74
Willis,GK,66,68,65,60,65,47,68
Sapong,ST,70,74,67,58,67,40,81
Meram,LM,69,70,68,65,71,58,66
Jimenez,LB,68,70,60,64,67,65,63
Muralha,CDM,70,70,67,66,72,66,76
Ødegaard,CB,65,56,27,50,53,67,71
Allan,CAM,70,68,66,71,72,49,60
Meredith,GK,61,65,60,64,64,46,54
Gogia,RW,69,71,67,65,75,28,60
Zoller,RM,69,71,68,64,69,35,63
Armstrong,RM,76,73,76,74,75,65,72
Kim Soo Beom,LWB,64,76,51,59,63,59,65
Lee Seung Gi,CM,70,74,68,71,71,53,69
Chandler,RM,74,67,71,73,71,74,80
Bolger,CB,62,44,28,31,33,62,71
Næss,CB,64,49,52,60,57,63,71
Diaby,RM,75,93,71,67,74,37,63
Aneke,ST,67,60,65,63,66,52,76
Bonham,GK,63,64,60,67,65,43,66
Quignon,CDM,73,67,59,69,76,69,77
Haïdara,LWB,70,76,51,59,66,66,77
Patric,ST,66,59,64,55,60,33,75
Flint,CB,71,49,47,41,41,71,82
Hernán,CM,66,52,60,64,65,64,70
Wood,ST,67,75,69,57,67,27,68
Woodyard,CM,65,66,50,64,66,66,75
Pernica,CB,71,67,38,54,54,71,76
Rodrigo Ely,CB,75,56,32,44,54,76,78
Verhoek,ST,64,59,64,50,60,24,74
Drost,CAM,65,70,62,64,65,47,67
Towell,CM,65,67,60,64,64,60,72
Bingham,GK,70,74,64,72,72,39,67
Rodman,RM,63,68,58,59,64,52,61
Bisoli,CM,71,73,70,69,70,68,67
David Juncà,LB,72,69,45,64,64,67,74
Hartherz,LB,70,72,52,66,64,65,80
Jesé,RW,72,73,68,69,77,25,58
Haraldseid,RB,67,73,53,60,63,62,74
